Woensdag 15 juni 2016,EK,groepfase,Frankrijk,Albanië,2,0
Donderdag 16 juni 2016,EK,groepfase,Engeland,Wales,2,1
Donderdag 16 juni 2016,EK,groepfase,Oekraïne,Noord-Ierland,0,2
Donderdag 16 juni 2016,EK,groepfase,Duitsland,Polen,0,0
Vrijdag 17 juni 2016,EK,groepfase,Tsjechië,Kroatië,2,2
Vrijdag 17 juni 2016,EK,groepfase,Spanje,Turkije,3,0
Zaterdag 18 juni 2016,EK,groepfase,IJsland,Hongarije,1,1
Zaterdag 18 juni 2016,EK,groepfase,Portugal,Oostenrijk,0,0
Zondag 19 juni 2016,EK,groepfase,Zwitserland,Frankrijk,0,0
Zondag 19 juni 2016,EK,groepfase,Roemenië,Albanië,0,1
Maandag 20 juni 2016,EK,groepfase,Slowakije,Engeland,0,0
Maandag 20 juni 2016,EK,groepfase,Rusland,Wales,0,3
Dinsdag 21 juni 2016,EK,groepfase,Oekraïne,Polen,0,1
Dinsdag 21 juni 2016,EK,groepfase,Noord-Ierland,Duitsland,0,1
Dinsdag 21 juni 2016,EK,groepfase,Kroatië,Spanje,2,1
Dinsdag 21 juni 2016,EK,groepfase,Tsjechië,Turkije,0,2
Woensdag 22 juni 2016,EK,groepfase,Hongarije,Portugal,3,3
Woensdag 22 juni 2016,EK,groepfase,IJsland,Oostenrijk,2,1
Zaterdag 25 juni 2016,EK,groepfase,Zwitserland,Polen,1,1
Zaterdag 25 juni 2016,EK,groepfase,Wales,Noord-Ierland,1,0
Zaterdag 25 juni 2016,EK,groepfase,Kroatië,Portugal,0,1
Zondag 26 juni 2016,EK,groepfase,Frankrijk,Ierland,2,1
Zondag 26 juni 2016,EK,groepfase,Duitsland,Slowakije,3,0
Zondag 26 juni 2016,EK,groepfase,Hongarije,België,0,4
Maandag 27 juni 2016,EK,groepfase,Italië,Spanje,2,0
Maandag 27 juni 2016,EK,groepfase,Engeland,IJsland,1,2
Donderdag 30 juni 2016,EK,groepfase,Polen,Portugal,1,1
Vrijdag 1 juli 2016,EK,groepfase,Wales,België,3,1
Zaterdag 2 juli 2016,EK,groepfase,Duitsland,Italië,1,1
Zondag 3 juli 2016,EK,groepfase,Frankrijk,IJsland,5,2
Woensdag 6 juli 2016,EK,groepfase,Portugal,Wales,2,0
Donderdag 7 juli 2016,EK,groepfase,Duitsland,Frankrijk,0,2
Zondag 10 juli 2016,EK,groepfase,Portugal,Frankrijk,1,0
Vrijdag 8 juni 2012,EK,groepfase,Polen,Griekenland,1,1
Vrijdag 8 juni 2012,EK,groepfase,Rusland,Tsjechië,4,1
Zaterdag 9 juni 2012,EK,groepfase,Nederland,Denemarken,0,1
Zaterdag 9 juni 2012,EK,groepfase,Duitsland,Portugal,1,0
Zondag 10 juni 2012,EK,groepfase,Spanje,Italië,1,1
Zondag 10 juni 2012,EK,groepfase,Ierland,Kroatië,1,3
Maandag 11 juni 2012,EK,groepfase,Frankrijk,Engeland,1,1
Maandag 11 juni 2012,EK,groepfase,Oekraïne,Zweden,2,1
Dinsdag 12 juni 2012,EK,groepfase,Griekenland,Tsjechië,1,2
Dinsdag 12 juni 2012,EK,groepfase,Polen,Rusland,1,1
Woensdag 13 juni 2012,EK,groepfase,Denemarken,Portugal,2,3
Woensdag 13 juni 2012,EK,groepfase,Nederland,Duitsland,1,2
Donderdag 14 juni 2012,EK,groepfase,Italië,Kroatië,1,1
Donderdag 14 juni 2012,EK,groepfase,Spanje,Ierland,4,0
Vrijdag 15 juni 2012,EK,groepfase,Oekraïne,Frankrijk,0,2
Vrijdag 15 juni 2012,EK,groepfase,Zweden,Engeland,2,3
Zaterdag 16 juni 2012,EK,groepfase,Griekenland,Rusland,1,0
Zaterdag 16 juni 2012,EK,groepfase,Tsjechië,Polen,1,0
Zondag 17 juni 2012,EK,groepfase,Portugal,Nederland,2,1
