1968,24.02. 17:00,Schotland,Engeland,1,1
1968,17.02. 17:00,Cyprus,Zwitserland,2,1
1968,23.12. 17:00,Frankrijk,Luxemburg,3,1
1968,23.12. 17:00,Italië,Zwitserland,4,0
1968,17.12. 17:00,Albanië,Duitsland,0,0
1968,17.12. 17:00,Portugal,Bulgarije,0,0
1968,26.11. 17:00,Bulgarije,Portugal,1,0
1968,22.11. 17:00,België,Luxemburg,3,0
1968,22.11. 17:00,Czechoslovakia,Ierland,1,2
1968,22.11. 17:00,Engeland,Noord-Ierland,2,0
1968,22.11. 17:00,Schotland,Wales,3,2
1968,18.11. 17:00,Zwitserland,Italië,2,2
1968,15.11. 17:00,Turkije,Czechoslovakia,0,0
1968,12.11. 17:00,Bulgarije,Zweden,3,0
1968,12.11. 17:00,Portugal,Noorwegen,2,1
1968,12.11. 17:00,Yugoslavia,Albanië,4,0
1968,08.11. 17:00,Zwitserland,Cyprus,5,0
1968,05.11. 17:00,Zweden,Noorwegen,5,2
1968,01.11. 17:00,Italië,Cyprus,5,0
1968,31.10. 17:00,Griekenland,Sovjet-Unie,0,1
1968,29.10. 17:00,German Democratic Republic,Hongarije,1,0
1968,28.10. 17:00,Frankrijk,België,1,1
1968,22.10. 17:00,Spanje,Czechoslovakia,2,1
1968,21.10. 17:00,Noord-Ierland,Schotland,1,0
1968,21.10. 17:00,Wales,Engeland,0,3
1968,15.10. 17:00,Oostenrijk,Sovjet-Unie,1,0
1968,11.10. 17:00,German Democratic Republic,Denemarken,3,2
1968,08.10. 17:00,België,Polen,2,4
1968,07.10. 17:00,Duitsland,Yugoslavia,3,1
1968,04.10. 17:00,Denemarken,Nederland,3,2
1968,04.10. 17:00,Griekenland,Oostenrijk,4,1
1968,01.10. 17:00,Czechoslovakia,Spanje,1,0
1968,27.09. 17:00,Hongarije,German Democratic Republic,3,1
1968,24.09. 17:00,Oostenrijk,Finland,2,1
1968,17.09. 17:00,Polen,Frankrijk,1,4
1968,13.09. 17:00,Nederland,German Democratic Republic,1,0
1968,06.09. 17:00,Finland,Sovjet-Unie,2,5
1968,03.09. 17:00,Noorwegen,Zweden,3,1
1968,30.08. 17:00,Sovjet-Unie,Finland,2,0
1968,16.07. 17:00,Sovjet-Unie,Griekenland,4,0
1968,29.06. 17:00,Noorwegen,Bulgarije,0,0
1968,25.06. 17:00,Roemenië,Italië,0,1
1968,18.06. 17:00,Czechoslovakia,Turkije,3,0
1968,11.06. 17:00,Sovjet-Unie,Oostenrijk,4,3
