Zondag 26 juni 2016,Frankrijk,Ierland,2,1
Zondag 26 juni 2016,Duitsland,Slowakije,3,0
Zondag 26 juni 2016,Hongarije,België,0,4
Maandag 27 juni 2016,Italië,Spanje,2,0
Maandag 27 juni 2016,Engeland,IJsland,1,2
Donderdag 30 juni 2016,Polen,Portugal,1,1
Vrijdag 1 juli 2016,Wales,België,3,1
Zaterdag 2 juli 2016,Duitsland,Italië,1,1
Zondag 3 juli 2016,Frankrijk,IJsland,5,2
Woensdag 6 juli 2016,Portugal,Wales,2,0
Donderdag 7 juli 2016,Duitsland,Frankrijk,0,2
Zondag 10 juli 2016,Portugal,Frankrijk,1,0
Vrijdag 8 juni 2012,Polen,Griekenland,1,1
Vrijdag 8 juni 2012,Rusland,Tsjechië,4,1
Zaterdag 9 juni 2012,Nederland,Denemarken,0,1
Zaterdag 9 juni 2012,Duitsland,Portugal,1,0
Zondag 10 juni 2012,Spanje,Italië,1,1
Zondag 10 juni 2012,Ierland,Kroatië,1,3
Maandag 11 juni 2012,Frankrijk,Engeland,1,1
Maandag 11 juni 2012,Oekraïne,Zweden,2,1
Dinsdag 12 juni 2012,Griekenland,Tsjechië,1,2
Dinsdag 12 juni 2012,Polen,Rusland,1,1
Woensdag 13 juni 2012,Denemarken,Portugal,2,3
Woensdag 13 juni 2012,Nederland,Duitsland,1,2
Donderdag 14 juni 2012,Italië,Kroatië,1,1
Donderdag 14 juni 2012,Spanje,Ierland,4,0
Vrijdag 15 juni 2012,Oekraïne,Frankrijk,0,2
Vrijdag 15 juni 2012,Zweden,Engeland,2,3
Zaterdag 16 juni 2012,Griekenland,Rusland,1,0
Zaterdag 16 juni 2012,Tsjechië,Polen,1,0
Zondag 17 juni 2012,Portugal,Nederland,2,1
Zondag 17 juni 2012,Denemarken,Duitsland,1,2
Maandag 18 juni 2012,Kroatië,Spanje,0,1
Maandag 18 juni 2012,Italië,Ierland,2,0
Dinsdag 19 juni 2012,Zweden,Frankrijk,2,0
Dinsdag 19 juni 2012,Engeland,Oekraïne,1,0
Donderdag 21 juni 2012,Tsjechië,Portugal,0,1
Vrijdag 22 juni 2012,Duitsland,Griekenland,4,2
Zaterdag 23 juni 2012,Spanje,Frankrijk,2,0
Zondag 24 juni 2012,Engeland,Italië,0,0
Woensdag 27 juni 2012,Portugal,Spanje,0,0
Donderdag 28 juni 2012,Duitsland,Italië,1,2
Zondag 1 juli 2012,Spanje,Italië,4,0
Zaterdag 18 november 2006,Wales,Faeröer Eil.,2,1
Zaterdag 18 november 2006,Slowakije,Luxemburg,4,0
Zaterdag 18 november 2006,Malta,Lithuania,0,0
Zondag 19 november 2006,Kroatië,Georgië,6,0
Zondag 19 november 2006,Noord-Ierland,Turkije,0,1
Zondag 19 november 2006,Israël,Letland,3,0
Zondag 19 november 2006,Bosnië-Herzeg.,Armenië,1,1
Zondag 19 november 2006,Roemenië,Azerbeidzjan,4,1
Zondag 19 november 2006,Estland,Bulgarije,0,5
Zondag 19 november 2006,Kazachstan,N Macedonië,1,0
Dinsdag 21 november 2006,Kroatië,Turkije,2,1
Dinsdag 21 november 2006,Georgië,Noord-Ierland,0,4
Dinsdag 21 november 2006,Israël,Armenië,1,0
Dinsdag 21 november 2006,Letland,Bosnië-Herzeg.,1,4
Dinsdag 21 november 2006,Slowakije,Lithuania,3,0
Dinsdag 21 november 2006,Luxemburg,Malta,4,2
Dinsdag 21 november 2006,Roemenië,Bulgarije,1,0
Dinsdag 21 november 2006,Azerbeidzjan,Estland,3,2
Dinsdag 21 november 2006,Wales,N Macedonië,6,0
Dinsdag 21 november 2006,Faeröer Eil.,Kazachstan,0,1
Vrijdag 24 november 2006,Noord-Ierland,Kroatië,5,1
Vrijdag 24 november 2006,Turkije,Georgië,9,0
Vrijdag 24 november 2006,Bosnië-Herzeg.,Israël,2,5
Vrijdag 24 november 2006,Armenië,Letland,1,0
Vrijdag 24 november 2006,Malta,Slowakije,0,8
Vrijdag 24 november 2006,Lithuania,Luxemburg,1,1
Vrijdag 24 november 2006,Estland,Roemenië,0,5
Vrijdag 24 november 2006,Bulgarije,Azerbeidzjan,3,0
Vrijdag 24 november 2006,Kazachstan,Wales,1,2
Vrijdag 24 november 2006,N Macedonië,Faeröer Eil.,0,7
Maandag 2 april 2007,Ierland,Hongarije,2,1
Woensdag 11 april 2007,Frankrijk,Griekenland,6,0
Donderdag 12 april 2007,Duitsland,Nederland,5,1
Zondag 15 april 2007,Slowakije,Portugal,2,1
Zaterdag 5 mei 2007,Italië,Zweden,0,2
Zaterdag 5 mei 2007,Slovenië,Servië,2,1
Zaterdag 5 mei 2007,Oostenrijk,Polen,0,1
Zaterdag 5 mei 2007,Hongarije,Roemenië,3,3
Zaterdag 5 mei 2007,Zwitserland,België,1,0
Zondag 6 mei 2007,Schotland,Portugal,0,0
Woensdag 9 mei 2007,Slowakije,Oekraïne,0,4
Woensdag 9 mei 2007,Zwitserland,Nederland,2,2
Donderdag 10 mei 2007,Israël,Polen,2,2
Donderdag 10 mei 2007,Wales,Duitsland,0,6
Zondag 13 mei 2007,Engeland,Noord-Ierland,4,0
Zaterdag 26 mei 2007,Noord-Ierland,Tsjechië,1,3
Woensdag 30 mei 2007,Wit-Rusland,Spanje,0,3
Woensdag 30 mei 2007,Israël,Rusland,0,6
Woensdag 30 mei 2007,Oekraïne,Schotland,2,1
Woensdag 30 mei 2007,Frankrijk,Slovenië,6,0
Woensdag 30 mei 2007,Ierland,Italië,1,2
Donderdag 31 mei 2007,Griekenland,IJsland,0,3
Zaterdag 16 juni 2007,IJsland,Frankrijk,1,0
Zaterdag 16 juni 2007,Roemenië,Zweden,0,7
Zaterdag 16 juni 2007,Rusland,Polen,3,1
Zondag 17 juni 2007,Israël,Noorwegen,0,3
Woensdag 20 juni 2007,Zweden,Hongarije,7,0
Donderdag 21 juni 2007,Oekraïne,Slowakije,5,0
Donderdag 21 juni 2007,Polen,Israël,4,1
Donderdag 21 juni 2007,Noorwegen,Oostenrijk,3,0
Donderdag 21 juni 2007,IJsland,Servië,5,0
Woensdag 1 augustus 2007,Wit-Rusland,Noord-Ierland,5,0
Woensdag 22 augustus 2007,Duitsland,Zwitserland,7,0
Donderdag 23 augustus 2007,Oostenrijk,Rusland,1,5
Zaterdag 25 augustus 2007,Roemenië,Ierland,0,2
Zaterdag 25 augustus 2007,Servië,Griekenland,1,2
Zondag 26 augustus 2007,Nederland,Wales,2,1
Zondag 26 augustus 2007,Wit-Rusland,Tsjechië,1,4
Zondag 26 augustus 2007,Slovenië,IJsland,2,1
Zondag 26 augustus 2007,Oostenrijk,Israël,5,0
Zaterdag 27 oktober 2007,Servië,Frankrijk,0,8
Zaterdag 27 oktober 2007,Hongarije,Italië,1,3
Zaterdag 27 oktober 2007,Tsjechië,Spanje,2,2
Zaterdag 27 oktober 2007,Engeland,Wit-Rusland,4,0
Zaterdag 27 oktober 2007,Denemarken,Portugal,5,1
Zaterdag 27 oktober 2007,Slowakije,Schotland,0,3
Zaterdag 27 oktober 2007,Noorwegen,Rusland,3,0
Zaterdag 27 oktober 2007,Ierland,Roemenië,2,1
Zondag 28 oktober 2007,Duitsland,België,3,0
Zondag 28 oktober 2007,Wales,Zwitserland,0,2
Woensdag 31 oktober 2007,Slovenië,Frankrijk,0,2
Woensdag 31 oktober 2007,Italië,Roemenië,5,0
Woensdag 31 oktober 2007,België,Wales,1,0
Woensdag 31 oktober 2007,Schotland,Denemarken,0,1
Donderdag 1 november 2007,Nederland,Duitsland,0,1
Zondag 25 november 2007,Engeland,Spanje,1,0
Zaterdag 16 februari 2008,Italië,Ierland,4,1
Zaterdag 16 februari 2008,Portugal,Slowakije,0,1
Zaterdag 16 februari 2008,Spanje,Noord-Ierland,4,0
Zondag 17 februari 2008,Wales,België,0,1
Woensdag 20 februari 2008,Wales,Nederland,0,1
Donderdag 21 februari 2008,Portugal,Oekraïne,0,1
Donderdag 6 maart 2008,Noord-Ierland,Engeland,0,2
Donderdag 20 maart 2008,Engeland,Tsjechië,0,0
Woensdag 23 april 2008,Hongarije,Ierland,0,2
Woensdag 23 april 2008,Griekenland,Frankrijk,0,5
Woensdag 23 april 2008,Slowakije,Denemarken,1,4
Woensdag 23 april 2008,België,Nederland,2,2
Zaterdag 26 april 2008,Tsjechië,Noord-Ierland,4,0
Zondag 27 april 2008,Denemarken,Schotland,2,1
Zondag 27 april 2008,België,Zwitserland,3,1
Zaterdag 3 mei 2008,Spanje,Wit-Rusland,6,1
