0,19600710,2130,30,28,2,1,3
1,19600709,1800,29,4,2,0,3
2,19600706,2030,29,30,0,3,3
3,19600706,2000,4,28,4,5,3
4,19600529,1700,29,16,3,0,0
5,19600522,1700,16,29,0,2,0
6,19600522,1700,28,5,5,1,0
7,19600508,1700,5,28,2,1,0
8,19600327,1700,22,4,2,4,0
9,19601213,1700,4,22,5,2,0
10,19601025,1700,19,28,1,1,0
11,19601018,1700,29,6,5,1,0
12,19601014,1700,1,14,3,0,0
13,19600927,1700,8,30,0,1,0
14,19600923,1700,6,29,2,2,0
15,19600923,1700,22,21,5,2,0
16,19600628,1700,14,1,2,4,0
17,19600628,1700,5,36,3,2,0
18,19600621,1700,36,5,0,2,0
19,19600531,1700,28,19,2,0,0
20,19600520,1700,21,22,0,1,0
21,19600510,1700,29,18,4,0,0
22,19600426,1700,10,16,2,0,0
23,19600405,1700,18,29,2,0,0
24,19601203,1700,12,4,1,1,0
25,19601102,1700,16,10,3,0,0
26,19601001,1700,4,12,7,1,0
27,19600928,1700,30,8,3,1,0
28,19640621,1830,1,30,2,1,3
29,19640620,2000,8,6,3,1,3
30,19640617,2230,6,30,0,3,3
31,19640617,2000,1,8,2,1,3
32,19640527,1700,30,9,3,1,0
33,19640523,1700,8,4,2,1,0
34,19640513,1700,9,30,1,1,0
35,19640425,1700,4,8,1,3,0
36,19640408,1700,18,1,0,2,0
37,19640311,1700,1,18,5,1,0
38,19641218,1700,6,26,1,0,0
39,19641210,1700,6,26,2,2,0
40,19641204,1700,26,6,3,3,0
41,19641110,1700,2,30,1,1,0
42,19641103,1700,8,36,3,3,0
43,19641030,1700,25,6,1,0,0
44,19641030,1700,3,26,1,2,0
45,19641030,1700,20,1,0,1,0
46,19641026,1700,4,19,3,1,0
47,19641019,1700,36,8,1,2,0
48,19641013,1700,18,22,3,2,0
49,19641013,1700,30,2,2,0,0
50,19640929,1700,19,4,1,0,0
51,19640925,1700,22,18,0,0,0
52,19640918,1700,9,28,3,2,0
53,19640911,1700,26,3,1,1,0
54,19640629,1700,6,25,4,0,3
55,19640619,1700,28,9,0,0,3
56,19640530,1700,1,20,1,1,0
57,19640331,1700,11,28,0,1,0
58,19640331,1700,29,36,1,1,0
59,19640331,1700,15,3,1,1,0
60,19640327,1700,10,2,0,1,0
61,19640320,1700,17,8,1,1,0
62,19640227,1700,4,7,5,2,0
63,19640123,1700,19,5,1,0,0
64,19641216,1700,5,19,3,1,0
65,19641208,1700,24,6,1,3,0
66,19641202,1700,2,10,6,0,0
67,19641128,1700,20,14,2,0,0
68,19641125,1700,16,1,3,1,0
69,19641121,1700,36,29,2,1,0
70,19641111,1700,3,15,3,1,0
71,19641107,1700,19,5,3,1,0
72,19641107,1700,8,17,3,1,0
73,19641104,1700,28,11,3,2,0
74,19641104,1700,9,21,1,1,0
75,19641101,1700,1,16,6,0,0
76,19641010,1700,14,20,0,2,0
77,19641003,1700,7,4,1,1,0
78,19640902,1700,31,18,1,1,0
79,19640812,1700,18,31,4,2,0
80,19640628,1700,6,24,6,1,3
81,19640621,1700,21,9,0,2,3
82,19680610,2115,2,28,2,0,3
83,19680608,2115,2,28,1,1,3
84,19680608,1645,7,30,2,0,3
85,19680605,2115,28,7,1,0,3
86,19680605,1800,2,30,0,0,3
87,19680511,1730,30,8,3,0,0
88,19680508,2030,1,7,1,2,0
89,19680504,1700,8,30,2,0,0
90,19680424,1630,28,4,5,1,0
91,19680420,1600,2,19,2,0,0
92,19680406,1600,19,2,3,2,0
93,19680406,1600,4,28,1,1,0
94,19680403,2045,7,1,1,0,0
95,19680228,1700,17,20,2,0,0
96,19680224,1700,13,7,1,1,0
97,19680217,1700,23,15,2,1,0
98,19681223,1700,4,26,3,1,0
99,19681223,1700,2,15,4,0,0
100,19681217,1700,25,0,0,0,0
101,19681217,1700,5,19,0,0,0
102,19681126,1700,19,5,1,0,0
103,19681122,1700,11,26,3,0,0
104,19681122,1700,29,18,1,2,0
105,19681122,1700,7,20,2,0,0
106,19681122,1700,13,17,3,2,0
107,19681118,1700,15,2,2,2,0
108,19681115,1700,10,29,0,0,0
109,19681112,1700,19,9,3,0,0
110,19681112,1700,5,21,2,1,0
111,19681112,1700,28,25,4,0,0
112,19681108,1700,15,23,5,0,0
113,19681105,1700,9,21,5,2,0
114,19681101,1700,2,23,5,0,0
115,19681031,1700,12,30,0,1,0
116,19681029,1700,36,8,1,0,0
117,19681028,1700,4,11,1,1,0
118,19681022,1700,1,29,2,1,0
119,19681021,1700,20,13,1,0,0
120,19681021,1700,17,7,0,3,0
121,19681015,1700,22,30,1,0,0
122,19681011,1700,36,6,3,2,0
123,19681008,1700,11,14,2,4,0
124,19681007,1700,0,28,3,1,0
125,19681004,1700,6,3,3,2,0
126,19681004,1700,12,22,4,1,0
127,19681001,1700,29,1,1,0,0
128,19680927,1700,8,36,3,1,0
129,19680924,1700,22,27,2,1,0
130,19680917,1700,14,4,1,4,0
131,19680913,1700,3,36,1,0,0
132,19680906,1700,27,30,2,5,0
133,19680903,1700,21,9,3,1,0
134,19680830,1700,30,27,2,0,0
135,19680716,1700,30,12,4,0,0
136,19680629,1700,21,19,0,0,3
137,19680625,1700,16,2,0,1,3
138,19680618,1700,29,10,3,0,3
139,19680611,1700,30,22,4,3,3
140,19680611,1700,9,19,0,2,3
141,19680608,1700,21,5,1,2,3
142,19680604,1700,6,36,1,1,3
143,19680601,1700,9,5,1,1,3
144,19680531,1700,1,10,2,0,0
145,19680524,1700,6,8,0,2,0
146,19680524,1700,15,16,7,1,0
